DataSN,title,display_time,start_time,end_time,publisher,category,senior_type,status,source_url,updated_at
9581890,大直分館「想變身？你的行動指南在這裡」主題書展,6月5日(五)至7月10日(五)，開館期間,2026-06-05T10:14:00,2026-07-10T10:14:00,臺北市立圖書館,教育、文化、展覽,include,ongoing,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=95B54B7E044D20BF,2026-06-05 11:14:00
9582843,115年6月6日(六)14:30-16:30南港行政中心1樓免費打公費疫苗，贈全聯禮卷，歡迎踴躍參加！！,2026-06-06T14:30:00 - 2026-06-06T16:30:00,2026-06-06T14:30:00,2026-06-06T16:30:00,臺北市南港區健康服務中心,,include,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=451537F3EF46F015,2026-06-05 11:14:00
9582797,南港健康服務中心115年7月至8月辦理「港」動健康：公私協力健走大賞活動，誠摯邀請南港在地職場一同參與，歡迎踴躍報名!!,2026-06-15T00:00:00 - 2026-11-13T23:59:00,2026-06-15T00:00:00,2026-11-13T23:59:00,臺北市南港區健康服務中心,,include,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=41D914F0D15924FF,2026-06-05 11:14:00
9582847,南港銀髮人才服務據點於115年6月16日(二)下午2-4時辦理【洛碁飯店】現場徵才活動！,下午 2:00 - 4:00,2026-06-16T14:00:00,2026-06-16T16:00:00,臺北市就業服務處,,include,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=580507FB65901A9B,2026-06-05 11:14:00
9651146,臺北市大同區公所辦理之「2026戀念大稻埕─城隍生日趴×誕隍祭」活動,2026-06-20T14:00:00 - 2026-06-20T18:00:00,2026-06-20T14:00:00,2026-06-20T18:00:00,臺北市內湖區戶政事務所,,include,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=3A49CAC5FDED2747,2026-06-05 11:14:00
9583602,臺北市中山區公所辦理115年「西式烘焙實作課」，歡迎報名參加。,2026-06-23T13:30:00 - 2026-06-23T16:30:00,2026-06-23T13:30:00,2026-06-23T16:30:00,臺北市內湖區戶政事務所,綜合資訊,include,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=1087A00D08BC00EE,2026-06-05 11:14:00
9651656,臺北市士林區公所訂於115年6月27日辦理115年度「故宮尋奇 臨溪情緣」單身聯誼活動,2026-06-27T13:00:00 - 2026-06-27T18:00:00,2026-06-27T13:00:00,2026-06-27T18:00:00,臺北市士林區公所,,include,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=080D46037D26C7BD,2026-06-05 11:14:00
9651136,臺北市士林區公所「故宮尋奇 臨溪情緣」單身聯誼活動,2026-06-27T13:00:00 - 2026-06-27T18:00:00,2026-06-27T13:00:00,2026-06-27T18:00:00,臺北市內湖區戶政事務所,,include,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=BE7710F25ABEFCF8,2026-06-05 11:14:00
9583548,萬華「肌智養成 動茲動吃」系列課程招生中（自115年6月3日開放報名）。,2026-07-01T14:29:00 - 2026-09-04T14:29:00,2026-07-01T14:29:00,2026-09-04T14:29:00,臺北市萬華區健康服務中心,,include,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=D632DD67520C67BE,2026-06-05 11:14:00
9583605,臺北市北投區公所辦理115年「生活成長營暨多元文化研習班：美肌達人工作坊」，歡迎報名參加。,2026-07-07T13:30:00 - 2026-08-06T16:30:00,2026-07-07T13:30:00,2026-08-06T16:30:00,臺北市內湖區戶政事務所,綜合資訊,include,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=515CC3903FB3A78E,2026-06-05 11:14:00
9652867,2026北流金舞台歌唱大賽,2026-07-15T00:00:00 - 2026-07-15T23:59:00,2026-07-15T00:00:00,2026-07-15T23:59:00,臺北市內湖區公所,,include,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=B0EFBB1C7D80237D,2026-06-05 11:14:00
9650298,家庭教育中心親密互動我和你實體及線上系列課程,2026-07-16T19:00:00 - 2026-08-13T21:00:00,2026-07-16T19:00:00,2026-08-13T21:00:00,臺北市政府財政局秘書室,綜合資訊,include,upcoming,https://www.gov.taipei/News_Content.aspx?n=B1167F83E1FE0CD9&s=A1A8D63992BE6799,2026-06-05 11:14:00
